i x t
1 5.0000000000000000e-01 -5.0000000000000000e-01
1 5.0100000000000000e-01 -2.0703125000000000e-01
1 5.0200000000000000e-01 -8.5107421875000000e-01
1 5.0300000000000000e-01 -2.2753906250000000e-01
1 5.0400000000000000e-01 5.2880859375000000e-01
1 5.0500000000000000e-01 -4.5019531250000000e-01
1 5.0600000000000001e-01 -1.3554687500000000e+00
1 5.0700000000000001e-01 -1.1914062500000000e+00
1 5.0800000000000001e-01 6.3964843750000000e-01
1 5.0900000000000001e-01 -2.1699218750000000e+00
1 5.1000000000000001e-01 3.8085937500000000e-01
1 5.1100000000000001e-01 -3.1835937500000000e-01
1 5.1200000000000001e-01 8.9111328125000000e-01
1 5.1300000000000001e-01 2.7109375000000000e+00
1 5.1400000000000001e-01 -1.5390625000000000e+00
1 5.1500000000000001e-01 -5.6884765625000000e-01
1 5.1600000000000001e-01 2.6953125000000000e-01
1 5.1700000000000002e-01 -1.4287109375000000e+00
1 5.1800000000000002e-01 -2.5195312500000000e-01
1 5.1900000000000002e-01 -4.6386718750000000e-01
1 5.2000000000000002e-01 -9.7851562500000000e-01
1 5.2100000000000002e-01 1.2500000000000000e-01
1 5.2200000000000002e-01 -2.3808593750000000e+00
1 5.2300000000000002e-01 -1.5136718750000000e-01
1 5.2400000000000002e-01 1.4687500000000000e+00
1 5.2500000000000002e-01 4.8535156250000000e-01
1 5.2600000000000002e-01 2.1269531250000000e+00
1 5.2700000000000002e-01 8.2714843750000000e-01
1 5.2800000000000002e-01 -9.7851562500000000e-01
1 5.2900000000000003e-01 6.3476562500000000e-01
1 5.3000000000000003e-01 -2.5156250000000000e+00
1 5.3100000000000003e-01 1.3554687500000000e+00
1 5.3200000000000003e-01 -1.4843750000000000e-01
1 5.3300000000000003e-01 2.2363281250000000e-01
1 5.3400000000000003e-01 -5.7324218750000000e-01
1 5.3500000000000003e-01 -6.3476562500000000e-01
1 5.3600000000000003e-01 7.6171875000000000e-01
1 5.3700000000000003e-01 1.9570312500000000e+00
1 5.3800000000000003e-01 1.1406250000000000e+00
1 5.3900000000000003e-01 -8.8085937500000000e-01
1 5.4000000000000004e-01 3.7578125000000000e+00
1 5.4100000000000004e-01 -2.4824218750000000e+00
1 5.4200000000000004e-01 1.9394531250000000e+00
