i x t
1 0.0000000e+00 1.0000000e+00
2 0.0000000e+00 9.9999994e-01
3 0.0000000e+00 9.9999988e-01
4 0.0000000e+00 9.9999988e-01
5 0.0000000e+00 9.9999994e-01
6 0.0000000e+00 9.9999982e-01
7 0.0000000e+00 9.9999994e-01
8 0.0000000e+00 1.0000001e+00
9 0.0000000e+00 9.9999982e-01
10 0.0000000e+00 9.9999994e-01
11 0.0000000e+00 9.9999988e-01
12 0.0000000e+00 9.9999994e-01
13 0.0000000e+00 1.0000002e+00
14 0.0000000e+00 9.9999982e-01
15 0.0000000e+00 1.0000000e+00
16 0.0000000e+00 1.0000002e+00
17 0.0000000e+00 9.9999994e-01
18 0.0000000e+00 9.9999994e-01
19 0.0000000e+00 9.9999994e-01
20 0.0000000e+00 9.9999988e-01
1 9.9999998e-03 9.8006576e-01
2 9.9999998e-03 9.8006612e-01
3 9.9999998e-03 9.8006582e-01
4 9.9999998e-03 9.8006588e-01
5 9.9999998e-03 9.8006588e-01
6 9.9999998e-03 9.8006582e-01
7 9.9999998e-03 9.8006588e-01
8 9.9999998e-03 9.8006588e-01
9 9.9999998e-03 9.8006600e-01
10 9.9999998e-03 9.8006570e-01
11 9.9999998e-03 9.8006582e-01
12 9.9999998e-03 9.8006594e-01
13 9.9999998e-03 9.8006570e-01
14 9.9999998e-03 9.8006588e-01
15 9.9999998e-03 9.8006594e-01
16 9.9999998e-03 9.8006606e-01
17 9.9999998e-03 9.8006594e-01
18 9.9999998e-03 9.8006582e-01
19 9.9999998e-03 9.8006588e-01
20 9.9999998e-03 9.8006594e-01
1 2.0000000e-02 9.2105067e-01
2 2.0000000e-02 9.2105067e-01
3 2.0000000e-02 9.2105043e-01
4 2.0000000e-02 9.2105067e-01
5 2.0000000e-02 9.2105037e-01
6 2.0000000e-02 9.2105055e-01
7 2.0000000e-02 9.2105055e-01
8 2.0000000e-02 9.2105061e-01
9 2.0000000e-02 9.2105061e-01
10 2.0000000e-02 9.2105061e-01
11 2.0000000e-02 9.2105049e-01
12 2.0000000e-02 9.2105061e-01
13 2.0000000e-02 9.2105079e-01
14 2.0000000e-02 9.2105055e-01
15 2.0000000e-02 9.2105073e-01
16 2.0000000e-02 9.2105055e-01
17 2.0000000e-02 9.2105049e-01
18 2.0000000e-02 9.2105055e-01
19 2.0000000e-02 9.2105067e-01
20 2.0000000e-02 9.2105073e-01
1 2.9999999e-02 8.2528490e-01
2 2.9999999e-02 8.2528472e-01
3 2.9999999e-02 8.2528466e-01
4 2.9999999e-02 8.2528478e-01
5 2.9999999e-02 8.2528484e-01
6 2.9999999e-02 8.2528472e-01
7 2.9999999e-02 8.2528484e-01
8 2.9999999e-02 8.2528478e-01
9 2.9999999e-02 8.2528466e-01
10 2.9999999e-02 8.2528466e-01
11 2.9999999e-02 8.2528466e-01
12 2.9999999e-02 8.2528478e-01
13 2.9999999e-02 8.2528484e-01
14 2.9999999e-02 8.2528502e-01
15 2.9999999e-02 8.2528478e-01
16 2.9999999e-02 8.2528484e-01
17 2.9999999e-02 8.2528490e-01
18 2.9999999e-02 8.2528496e-01
19 2.9999999e-02 8.2528472e-01
20 2.9999999e-02 8.2528484e-01
1 3.9999999e-02 6.9655347e-01
2 3.9999999e-02 6.9655353e-01
3 3.9999999e-02 6.9655347e-01
4 3.9999999e-02 6.9655365e-01
5 3.9999999e-02 6.9655353e-01
6 3.9999999e-02 6.9655353e-01
7 3.9999999e-02 6.9655365e-01
8 3.9999999e-02 6.9655359e-01
9 3.9999999e-02 6.9655365e-01
10 3.9999999e-02 6.9655359e-01
11 3.9999999e-02 6.9655353e-01
12 3.9999999e-02 6.9655359e-01
13 3.9999999e-02 6.9655377e-01
14 3.9999999e-02 6.9655365e-01
15 3.9999999e-02 6.9655359e-01
16 3.9999999e-02 6.9655347e-01
17 3.9999999e-02 6.9655359e-01
18 3.9999999e-02 6.9655365e-01
19 3.9999999e-02 6.9655353e-01
20 3.9999999e-02 6.9655341e-01
1 5.0000001e-02 5.3995150e-01
2 5.0000001e-02 5.3995126e-01
3 5.0000001e-02 5.3995144e-01
4 5.0000001e-02 5.3995132e-01
5 5.0000001e-02 5.3995115e-01
6 5.0000001e-02 5.3995103e-01
7 5.0000001e-02 5.3995121e-01
8 5.0000001e-02 5.3995121e-01
9 5.0000001e-02 5.3995121e-01
10 5.0000001e-02 5.3995121e-01
11 5.0000001e-02 5.3995121e-01
12 5.0000001e-02 5.3995121e-01
13 5.0000001e-02 5.3995126e-01
14 5.0000001e-02 5.3995115e-01
15 5.0000001e-02 5.3995115e-01
16 5.0000001e-02 5.3995115e-01
17 5.0000001e-02 5.3995121e-01
18 5.0000001e-02 5.3995138e-01
19 5.0000001e-02 5.3995121e-01
20 5.0000001e-02 5.3995132e-01
1 5.9999999e-02 3.6168548e-01
2 5.9999999e-02 3.6168560e-01
3 5.9999999e-02 3.6168557e-01
4 5.9999999e-02 3.6168557e-01
5 5.9999999e-02 3.6168557e-01
6 5.9999999e-02 3.6168560e-01
7 5.9999999e-02 3.6168551e-01
8 5.9999999e-02 3.6168554e-01
9 5.9999999e-02 3.6168566e-01
10 5.9999999e-02 3.6168551e-01
11 5.9999999e-02 3.6168548e-01
12 5.9999999e-02 3.6168563e-01
13 5.9999999e-02 3.6168554e-01
14 5.9999999e-02 3.6168551e-01
15 5.9999999e-02 3.6168554e-01
16 5.9999999e-02 3.6168557e-01
17 5.9999999e-02 3.6168557e-01
18 5.9999999e-02 3.6168551e-01
19 5.9999999e-02 3.6168543e-01
20 5.9999999e-02 3.6168551e-01
1 7.0000000e-02 1.6883782e-01
2 7.0000000e-02 1.6883798e-01
3 7.0000000e-02 1.6883782e-01
4 7.0000000e-02 1.6883782e-01
5 7.0000000e-02 1.6883780e-01
6 7.0000000e-02 1.6883773e-01
7 7.0000000e-02 1.6883792e-01
8 7.0000000e-02 1.6883783e-01
9 7.0000000e-02 1.6883785e-01
10 7.0000000e-02 1.6883795e-01
11 7.0000000e-02 1.6883783e-01
