i x t
1 5.0000000000000000e-01 -5.0000000000000000e-01
1 5.0100000000000000e-01 -4.8046875000000000e-01
1 5.0200000000000000e-01 -4.5996093750000000e-01
1 5.0300000000000000e-01 -4.3945312500000000e-01
1 5.0400000000000000e-01 -4.1992187500000000e-01
1 5.0500000000000000e-01 -3.9160156250000000e-01
1 5.0600000000000001e-01 -3.7500000000000000e-01
1 5.0700000000000001e-01 -3.5839843750000000e-01
1 5.0800000000000001e-01 -3.3300781250000000e-01
1 5.0900000000000001e-01 -3.1640625000000000e-01
1 5.1000000000000001e-01 -2.9003906250000000e-01
1 5.1100000000000001e-01 -2.6171875000000000e-01
1 5.1200000000000001e-01 -2.5488281250000000e-01
1 5.1300000000000001e-01 -2.1582031250000000e-01
1 5.1400000000000001e-01 -2.0996093750000000e-01
1 5.1500000000000001e-01 -1.7089843750000000e-01
1 5.1600000000000001e-01 -1.3964843750000000e-01
1 5.1700000000000002e-01 -1.2792968750000000e-01
1 5.1800000000000002e-01 -1.0351562500000000e-01
1 5.1900000000000002e-01 -8.1054687500000000e-02
1 5.2000000000000002e-01 -5.6640625000000000e-02
1 5.2100000000000002e-01 -3.6132812500000000e-02
1 5.2200000000000002e-01 -9.7656250000000000e-03
1 5.2300000000000002e-01 1.0253906250000000e-02
1 5.2400000000000002e-01 3.5156250000000000e-02
1 5.2500000000000002e-01 5.8105468750000000e-02
1 5.2600000000000002e-01 7.1777343750000000e-02
1 5.2700000000000002e-01 1.0742187500000000e-01
1 5.2800000000000002e-01 1.3867187500000000e-01
1 5.2900000000000003e-01 1.4453125000000000e-01
1 5.3000000000000003e-01 1.8603515625000000e-01
1 5.3100000000000003e-01 2.0019531250000000e-01
1 5.3200000000000003e-01 2.2265625000000000e-01
1 5.3300000000000003e-01 2.4414062500000000e-01
1 5.3400000000000003e-01 2.6660156250000000e-01
1 5.3500000000000003e-01 2.9150390625000000e-01
1 5.3600000000000003e-01 3.1152343750000000e-01
1 5.3700000000000003e-01 3.3740234375000000e-01
1 5.3800000000000003e-01 3.5009765625000000e-01
1 5.3900000000000003e-01 3.8183593750000000e-01
1 5.4000000000000004e-01 3.9550781250000000e-01
1 5.4100000000000004e-01 4.2529296875000000e-01
1 5.4200000000000004e-01 4.4921875000000000e-01
1 5.4300000000000004e-01 4.7021484375000000e-01
1 5.4400000000000004e-01 4.8291015625000000e-01
1 5.4500000000000004e-01 5.1269531250000000e-01
1 5.4600000000000004e-01 5.2490234375000000e-01
1 5.4700000000000004e-01 5.4687500000000000e-01
1 5.4800000000000004e-01 5.7470703125000000e-01
1 5.4900000000000004e-01 5.9423828125000000e-01
1 5.5000000000000004e-01 6.0791015625000000e-01
1 5.5100000000000005e-01 6.2695312500000000e-01
1 5.5200000000000005e-01 6.4648437500000000e-01
1 5.5300000000000005e-01 6.6406250000000000e-01
1 5.5400000000000005e-01 6.7578125000000000e-01
1 5.5500000000000005e-01 7.0019531250000000e-01
1 5.5600000000000005e-01 7.1191406250000000e-01
1 5.5700000000000005e-01 7.2949218750000000e-01
1 5.5800000000000005e-01 7.4658203125000000e-01
1 5.5900000000000005e-01 7.6367187500000000e-01
1 5.6000000000000005e-01 7.7929687500000000e-01
1 5.6100000000000005e-01 7.8955078125000000e-01
1 5.6200000000000006e-01 8.1054687500000000e-01
1 5.6299999999999994e-01 8.1982421875000000e-01
1 5.6399999999999995e-01 8.3447265625000000e-01
1 5.6499999999999995e-01 8.4863281250000000e-01
1 5.6599999999999995e-01 8.6132812500000000e-01
1 5.6699999999999995e-01 8.7011718750000000e-01
1 5.6799999999999995e-01 8.8281250000000000e-01
