i x t
1 5.0000000e-01 -5.0088751e-01
2 5.0000000e-01 -5.0057340e-01
3 5.0000000e-01 -5.0053626e-01
4 5.0000000e-01 -4.9814919e-01
5 5.0000000e-01 -5.0037855e-01
6 5.0000000e-01 -4.9928233e-01
7 5.0000000e-01 -4.9994889e-01
8 5.0000000e-01 -5.0060588e-01
9 5.0000000e-01 -4.9710917e-01
10 5.0000000e-01 -5.0154215e-01
11 5.0000000e-01 -5.0001782e-01
12 5.0000000e-01 -4.9869534e-01
13 5.0000000e-01 -4.9907029e-01
14 5.0000000e-01 -4.9840680e-01
15 5.0000000e-01 -4.9839932e-01
16 5.0000000e-01 -5.0014669e-01
17 5.0000000e-01 -4.9814242e-01
18 5.0000000e-01 -4.9877593e-01
19 5.0000000e-01 -4.9991646e-01
20 5.0000000e-01 -4.9960658e-01
1 5.0099999e-01 -4.7898388e-01
2 5.0099999e-01 -4.7940651e-01
3 5.0099999e-01 -4.8011309e-01
4 5.0099999e-01 -4.8081553e-01
5 5.0099999e-01 -4.7971249e-01
6 5.0099999e-01 -4.8114654e-01
7 5.0099999e-01 -4.8036718e-01
8 5.0099999e-01 -4.7995284e-01
9 5.0099999e-01 -4.8154977e-01
10 5.0099999e-01 -4.8072159e-01
11 5.0099999e-01 -4.7890472e-01
12 5.0099999e-01 -4.7845796e-01
13 5.0099999e-01 -4.7841606e-01
14 5.0099999e-01 -4.7882885e-01
15 5.0099999e-01 -4.8156634e-01
16 5.0099999e-01 -4.7984502e-01
17 5.0099999e-01 -4.7780395e-01
18 5.0099999e-01 -4.7993085e-01
19 5.0099999e-01 -4.7910571e-01
20 5.0099999e-01 -4.8048037e-01
1 5.0199997e-01 -4.6091503e-01
2 5.0199997e-01 -4.6004015e-01
3 5.0199997e-01 -4.5762438e-01
4 5.0199997e-01 -4.5859414e-01
5 5.0199997e-01 -4.5872593e-01
6 5.0199997e-01 -4.5828399e-01
7 5.0199997e-01 -4.6031010e-01
8 5.0199997e-01 -4.6115005e-01
9 5.0199997e-01 -4.6231061e-01
10 5.0199997e-01 -4.5925951e-01
11 5.0199997e-01 -4.5666865e-01
12 5.0199997e-01 -4.6063301e-01
13 5.0199997e-01 -4.5986804e-01
14 5.0199997e-01 -4.5840776e-01
15 5.0199997e-01 -4.6184182e-01
16 5.0199997e-01 -4.5897380e-01
17 5.0199997e-01 -4.5902908e-01
18 5.0199997e-01 -4.6094638e-01
19 5.0199997e-01 -4.5919338e-01
20 5.0199997e-01 -4.6037585e-01
1 5.0300002e-01 -4.3863177e-01
2 5.0300002e-01 -4.3887207e-01
3 5.0300002e-01 -4.3987378e-01
4 5.0300002e-01 -4.3791649e-01
5 5.0300002e-01 -4.3868151e-01
6 5.0300002e-01 -4.3885905e-01
7 5.0300002e-01 -4.3893331e-01
8 5.0300002e-01 -4.3921527e-01
9 5.0300002e-01 -4.3687937e-01
10 5.0300002e-01 -4.3754554e-01
11 5.0300002e-01 -4.3771896e-01
12 5.0300002e-01 -4.3823603e-01
13 5.0300002e-01 -4.3808481e-01
14 5.0300002e-01 -4.3779168e-01
15 5.0300002e-01 -4.3779308e-01
16 5.0300002e-01 -4.3785504e-01
17 5.0300002e-01 -4.3905464e-01
18 5.0300002e-01 -4.3901265e-01
19 5.0300002e-01 -4.3895552e-01
20 5.0300002e-01 -4.3999431e-01
1 5.0400001e-01 -4.1781273e-01
2 5.0400001e-01 -4.1686291e-01
3 5.0400001e-01 -4.1936672e-01
4 5.0400001e-01 -4.1945678e-01
5 5.0400001e-01 -4.1765219e-01
