test,variable,backend,mean,std_dev,rel_error,rel_error_pct,min,max,n_samples
verhulst_range,x_-0.0,libinterflop_mca.so --mode=mca --precision-binary64=53,-2.8354544538e-16,2.1722449407e-16,7.6610115805e-01,76.610116,-7.3923187009e-16,-9.0574801526e-19,22
verhulst_range,x_-0.1,libinterflop_mca.so --mode=mca --precision-binary64=53,-4.4000000000e-01,6.8681450874e-16,1.5609420653e-15,0.000000,-4.4000000000e-01,-4.4000000000e-01,50
verhulst_range,x_-0.2,libinterflop_mca.so --mode=mca --precision-binary64=53,-9.7777777778e-01,8.2006336444e-16,8.3870116818e-16,0.000000,-9.7777777778e-01,-9.7777777778e-01,50
verhulst_range,x_-0.3,libinterflop_mca.so --mode=mca --precision-binary64=53,-1.6500000000e+00,1.1382899617e-15,6.8987270404e-16,0.000000,-1.6500000000e+00,-1.6500000000e+00,50
verhulst_range,x_-0.4,libinterflop_mca.so --mode=mca --precision-binary64=53,-2.5142857143e+00,1.4567209187e-15,5.7937763813e-16,0.000000,-2.5142857143e+00,-2.5142857143e+00,50
verhulst_range,x_-0.5,libinterflop_mca.so --mode=mca --precision-binary64=53,-3.6666666667e+00,1.7863209011e-15,4.8717842757e-16,0.000000,-3.6666666667e+00,-3.6666666667e+00,50
verhulst_range,x_-0.6,libinterflop_mca.so --mode=mca --precision-binary64=53,-5.2800000000e+00,2.9134418374e-15,5.5178822679e-16,0.000000,-5.2800000000e+00,-5.2800000000e+00,50
verhulst_range,x_-0.7,libinterflop_mca.so --mode=mca --precision-binary64=53,-7.7000000000e+00,4.3511678576e-15,5.6508673476e-16,0.000000,-7.7000000000e+00,-7.7000000000e+00,50
verhulst_range,x_-0.8,libinterflop_mca.so --mode=mca --precision-binary64=53,-1.1733333333e+01,7.4182839490e-15,6.3224010929e-16,0.000000,-1.1733333333e+01,-1.1733333333e+01,50
verhulst_range,x_-0.9,libinterflop_mca.so --mode=mca --precision-binary64=53,-1.9800000000e+01,1.4963631890e-14,7.5573898434e-16,0.000000,-1.9800000000e+01,-1.9800000000e+01,50
verhulst_range,x_-1.0,libinterflop_mca.so --mode=mca --precision-binary64=53,-4.4000000000e+01,5.5758367002e-14,1.2672356137e-15,0.000000,-4.4000000000e+01,-4.4000000000e+01,50
verhulst_range,x_0.0,libinterflop_mca.so --mode=mca --precision-binary64=53,6.1196732548e-16,4.1438982936e-16,6.7714371683e-01,67.714372,8.8387679369e-17,1.7615989715e-15,28
verhulst_range,x_0.1,libinterflop_mca.so --mode=mca --precision-binary64=53,3.6666666667e-01,4.6938937529e-16,1.2801528417e-15,0.000000,3.6666666667e-01,3.6666666667e-01,50
verhulst_range,x_0.2,libinterflop_mca.so --mode=mca --precision-binary64=53,6.7692307692e-01,3.9471512358e-16,5.8310188710e-16,0.000000,6.7692307692e-01,6.7692307692e-01,50
verhulst_range,x_0.3,libinterflop_mca.so --mode=mca --precision-binary64=53,9.4285714286e-01,3.9283700766e-16,4.1664531115e-16,0.000000,9.4285714286e-01,9.4285714286e-01,50
verhulst_range,x_0.4,libinterflop_mca.so --mode=mca --precision-binary64=53,1.1733333333e+00,3.9720546452e-16,3.3852738453e-16,0.000000,1.1733333333e+00,1.1733333333e+00,50
verhulst_range,x_0.5,libinterflop_mca.so --mode=mca --precision-binary64=53,1.3750000000e+00,3.9720546452e-16,2.8887670147e-16,0.000000,1.3750000000e+00,1.3750000000e+00,50
verhulst_range,x_0.6,libinterflop_mca.so --mode=mca --precision-binary64=53,1.5529411765e+00,3.3966293202e-16,2.1872234259e-16,0.000000,1.5529411765e+00,1.5529411765e+00,50
verhulst_range,x_0.7,libinterflop_mca.so --mode=mca --precision-binary64=53,1.7111111111e+00,4.2826412465e-16,2.5028422869e-16,0.000000,1.7111111111e+00,1.7111111111e+00,50
verhulst_range,x_0.8,libinterflop_mca.so --mode=mca --precision-binary64=53,1.8526315789e+00,4.0336405604e-16,2.1772491661e-16,0.000000,1.8526315789e+00,1.8526315789e+00,50
verhulst_range,x_0.9,libinterflop_mca.so --mode=mca --precision-binary64=53,1.9800000000e+00,5.3105345646e-16,2.6820881639e-16,0.000000,1.9800000000e+00,1.9800000000e+00,50
verhulst_range,x_1.0,libinterflop_mca.so --mode=mca --precision-binary64=53,2.0952380952e+00,4.7216411498e-16,2.2535105488e-16,0.000000,2.0952380952e+00,2.0952380952e+00,23
