i x result
1 -1.0000000000000000e+00 -4.4500000000000000e+01
1 -9.8999999999999999e-01 -3.9000000000000000e+01
1 -9.7999999999999998e-01 -3.5750000000000000e+01
1 -9.6999999999999997e-01 -3.3000000000000000e+01
1 -9.5999999999999996e-01 -2.9875000000000000e+01
1 -9.4999999999999996e-01 -2.7750000000000000e+01
1 -9.3999999999999995e-01 -2.6000000000000000e+01
1 -9.3000000000000005e-01 -2.3750000000000000e+01
1 -9.2000000000000004e-01 -2.2500000000000000e+01
1 -9.1000000000000003e-01 -2.1125000000000000e+01
1 -9.0000000000000002e-01 -1.9625000000000000e+01
1 -8.9000000000000001e-01 -1.8625000000000000e+01
1 -8.8000000000000000e-01 -1.7625000000000000e+01
1 -8.7000000000000000e-01 -1.6500000000000000e+01
1 -8.5999999999999999e-01 -1.5687500000000000e+01
1 -8.4999999999999998e-01 -1.5062500000000000e+01
1 -8.3999999999999997e-01 -1.4125000000000000e+01
1 -8.2999999999999996e-01 -1.3437500000000000e+01
1 -8.1999999999999995e-01 -1.2937500000000000e+01
1 -8.1000000000000005e-01 -1.2375000000000000e+01
1 -8.0000000000000004e-01 -1.1687500000000000e+01
1 -7.9000000000000004e-01 -1.1250000000000000e+01
1 -7.8000000000000003e-01 -1.0812500000000000e+01
1 -7.7000000000000002e-01 -1.0250000000000000e+01
1 -7.6000000000000001e-01 -9.8750000000000000e+00
1 -7.5000000000000000e-01 -9.5000000000000000e+00
1 -7.3999999999999999e-01 -9.0000000000000000e+00
1 -7.2999999999999998e-01 -8.6875000000000000e+00
1 -7.1999999999999997e-01 -8.3750000000000000e+00
1 -7.0999999999999996e-01 -8.0000000000000000e+00
1 -6.9999999999999996e-01 -7.6875000000000000e+00
1 -6.8999999999999995e-01 -7.4375000000000000e+00
1 -6.8000000000000005e-01 -7.0937500000000000e+00
1 -6.7000000000000004e-01 -6.8750000000000000e+00
1 -6.6000000000000003e-01 -6.6250000000000000e+00
1 -6.5000000000000002e-01 -6.3125000000000000e+00
1 -6.4000000000000001e-01 -6.1250000000000000e+00
1 -6.3000000000000000e-01 -5.9062500000000000e+00
1 -6.2000000000000000e-01 -5.6875000000000000e+00
1 -6.0999999999999999e-01 -5.4687500000000000e+00
1 -5.9999999999999998e-01 -5.3125000000000000e+00
1 -5.8999999999999997e-01 -5.0625000000000000e+00
1 -5.7999999999999996e-01 -4.9062500000000000e+00
1 -5.6999999999999995e-01 -4.7500000000000000e+00
1 -5.6000000000000005e-01 -4.5312500000000000e+00
1 -5.5000000000000004e-01 -4.4062500000000000e+00
1 -5.4000000000000004e-01 -4.2500000000000000e+00
1 -5.3000000000000003e-01 -4.1250000000000000e+00
1 -5.2000000000000002e-01 -3.9375000000000000e+00
1 -5.1000000000000001e-01 -3.7968750000000000e+00
1 -5.0000000000000000e-01 -3.6562500000000000e+00
1 -4.8999999999999999e-01 -3.5312500000000000e+00
1 -4.7999999999999998e-01 -3.4218750000000000e+00
1 -4.6999999999999997e-01 -3.2968750000000000e+00
1 -4.6000000000000002e-01 -3.1718750000000000e+00
1 -4.5000000000000001e-01 -3.0312500000000000e+00
1 -4.4000000000000000e-01 -2.9218750000000000e+00
1 -4.2999999999999999e-01 -2.8281250000000000e+00
1 -4.1999999999999998e-01 -2.7187500000000000e+00
1 -4.0999999999999998e-01 -2.6250000000000000e+00
1 -4.0000000000000002e-01 -2.5156250000000000e+00
1 -3.9000000000000001e-01 -2.4218750000000000e+00
1 -3.8000000000000000e-01 -2.3281250000000000e+00
1 -3.7000000000000000e-01 -2.2187500000000000e+00
1 -3.5999999999999999e-01 -2.1406250000000000e+00
1 -3.4999999999999998e-01 -2.0625000000000000e+00
1 -3.4000000000000002e-01 -1.9687500000000000e+00
1 -3.3000000000000002e-01 -1.8906250000000000e+00
1 -3.2000000000000001e-01 -1.8046875000000000e+00
1 -3.1000000000000000e-01 -1.7265625000000000e+00
1 -2.9999999999999999e-01 -1.6562500000000000e+00
1 -2.8999999999999998e-01 -1.5781250000000000e+00
1 -2.8000000000000003e-01 -1.5000000000000000e+00
1 -2.7000000000000002e-01 -1.4296875000000000e+00
1 -2.6000000000000001e-01 -1.3593750000000000e+00
1 -2.5000000000000000e-01 -1.2890625000000000e+00
1 -2.3999999999999999e-01 -1.2265625000000000e+00
1 -2.3000000000000001e-01 -1.1718750000000000e+00
1 -2.2000000000000000e-01 -1.0937500000000000e+00
1 -2.0999999999999999e-01 -1.0390625000000000e+00
1 -2.0000000000000001e-01 -9.7656250000000000e-01
1 -1.9000000000000000e-01 -9.1796875000000000e-01
1 -1.7999999999999999e-01 -8.5937500000000000e-01
1 -1.7000000000000001e-01 -8.0468750000000000e-01
1 -1.6000000000000000e-01 -7.5000000000000000e-01
1 -1.4999999999999999e-01 -6.9531250000000000e-01
1 -1.4000000000000001e-01 -6.3671875000000000e-01
1 -1.3000000000000000e-01 -5.8984375000000000e-01
1 -1.2000000000000000e-01 -5.3906250000000000e-01
1 -1.1000000000000000e-01 -4.8828125000000000e-01
1 -1.0000000000000001e-01 -4.3945312500000000e-01
1 -8.9999999999999997e-02 -3.9062500000000000e-01
1 -8.0000000000000002e-02 -3.4570312500000000e-01
1 -7.0000000000000007e-02 -2.9882812500000000e-01
1 -5.9999999999999998e-02 -2.5390625000000000e-01
1 -5.0000000000000003e-02 -2.0996093750000000e-01
1 -4.0000000000000001e-02 -1.6601562500000000e-01
1 -2.9999999999999999e-02 -1.2353515625000000e-01
1 -2.0000000000000000e-02 -8.1542968750000000e-02
1 -1.0000000000000000e-02 -4.0283203125000000e-02
1 0.0000000000000000e+00 0.0000000000000000e+00
1 1.0000000000000000e-02 3.9794921875000000e-02
1 2.0000000000000000e-02 7.8613281250000000e-02
1 2.9999999999999999e-02 1.1718750000000000e-01
1 4.0000000000000001e-02 1.5429687500000000e-01
1 5.0000000000000003e-02 1.9140625000000000e-01
1 5.9999999999999998e-02 2.2753906250000000e-01
1 7.0000000000000007e-02 2.6367187500000000e-01
1 8.0000000000000002e-02 2.9882812500000000e-01
1 8.9999999999999997e-02 3.3398437500000000e-01
1 1.0000000000000001e-01 3.6523437500000000e-01
1 1.1000000000000000e-01 3.9843750000000000e-01
1 1.2000000000000000e-01 4.3359375000000000e-01
1 1.3000000000000000e-01 4.6484375000000000e-01
1 1.4000000000000001e-01 4.9609375000000000e-01
1 1.4999999999999999e-01 5.2734375000000000e-01
1 1.6000000000000000e-01 5.5859375000000000e-01
1 1.7000000000000001e-01 5.8593750000000000e-01
1 1.7999999999999999e-01 6.1718750000000000e-01
1 1.9000000000000000e-01 6.4843750000000000e-01
1 2.0000000000000001e-01 6.7968750000000000e-01
1 2.0999999999999999e-01 7.0703125000000000e-01
1 2.2000000000000000e-01 7.3046875000000000e-01
1 2.3000000000000001e-01 7.6171875000000000e-01
1 2.3999999999999999e-01 7.8906250000000000e-01
1 2.5000000000000000e-01 8.1640625000000000e-01
1 2.6000000000000001e-01 8.3984375000000000e-01
1 2.7000000000000002e-01 8.6718750000000000e-01
1 2.8000000000000003e-01 8.9453125000000000e-01
1 2.8999999999999998e-01 9.1406250000000000e-01
1 2.9999999999999999e-01 9.4531250000000000e-01
1 3.1000000000000000e-01 9.6875000000000000e-01
1 3.2000000000000001e-01 9.9218750000000000e-01
1 3.3000000000000002e-01 1.0156250000000000e+00
1 3.4000000000000002e-01 1.0390625000000000e+00
1 3.4999999999999998e-01 1.0625000000000000e+00
1 3.5999999999999999e-01 1.0859375000000000e+00
1 3.7000000000000000e-01 1.1015625000000000e+00
1 3.8000000000000000e-01 1.1328125000000000e+00
1 3.9000000000000001e-01 1.1484375000000000e+00
1 4.0000000000000002e-01 1.1796875000000000e+00
1 4.0999999999999998e-01 1.1953125000000000e+00
1 4.1999999999999998e-01 1.2109375000000000e+00
1 4.2999999999999999e-01 1.2343750000000000e+00
1 4.4000000000000000e-01 1.2578125000000000e+00
1 4.5000000000000001e-01 1.2812500000000000e+00
1 4.6000000000000002e-01 1.2968750000000000e+00
1 4.6999999999999997e-01 1.3203125000000000e+00
1 4.7999999999999998e-01 1.3359375000000000e+00
1 4.8999999999999999e-01 1.3593750000000000e+00
1 5.0000000000000000e-01 1.3750000000000000e+00
1 5.1000000000000001e-01 1.3984375000000000e+00
1 5.2000000000000002e-01 1.4140625000000000e+00
1 5.3000000000000003e-01 1.4296875000000000e+00
1 5.4000000000000004e-01 1.4453125000000000e+00
1 5.5000000000000004e-01 1.4687500000000000e+00
1 5.6000000000000005e-01 1.4843750000000000e+00
1 5.6999999999999995e-01 1.5078125000000000e+00
1 5.7999999999999996e-01 1.5078125000000000e+00
1 5.8999999999999997e-01 1.5390625000000000e+00
1 5.9999999999999998e-01 1.5546875000000000e+00
1 6.0999999999999999e-01 1.5703125000000000e+00
1 6.2000000000000000e-01 1.5937500000000000e+00
1 6.3000000000000000e-01 1.5937500000000000e+00
1 6.4000000000000001e-01 1.6250000000000000e+00
1 6.5000000000000002e-01 1.6250000000000000e+00
1 6.6000000000000003e-01 1.6484375000000000e+00
1 6.7000000000000004e-01 1.6718750000000000e+00
1 6.8000000000000005e-01 1.6796875000000000e+00
1 6.8999999999999995e-01 1.7031250000000000e+00
1 6.9999999999999996e-01 1.7031250000000000e+00
1 7.0999999999999996e-01 1.7343750000000000e+00
1 7.1999999999999997e-01 1.7343750000000000e+00
1 7.2999999999999998e-01 1.7578125000000000e+00
1 7.3999999999999999e-01 1.7656250000000000e+00
1 7.5000000000000000e-01 1.7812500000000000e+00
1 7.6000000000000001e-01 1.8046875000000000e+00
1 7.7000000000000002e-01 1.8046875000000000e+00
1 7.8000000000000003e-01 1.8281250000000000e+00
1 7.9000000000000004e-01 1.8359375000000000e+00
1 8.0000000000000004e-01 1.8515625000000000e+00
1 8.1000000000000005e-01 1.8671875000000000e+00
1 8.1999999999999995e-01 1.8750000000000000e+00
1 8.2999999999999996e-01 1.8906250000000000e+00
1 8.3999999999999997e-01 1.9062500000000000e+00
1 8.4999999999999998e-01 1.9218750000000000e+00
1 8.5999999999999999e-01 1.9296875000000000e+00
1 8.7000000000000000e-01 1.9453125000000000e+00
1 8.8000000000000000e-01 1.9531250000000000e+00
1 8.9000000000000001e-01 1.9687500000000000e+00
1 9.0000000000000002e-01 1.9843750000000000e+00
1 9.1000000000000003e-01 1.9921875000000000e+00
1 9.2000000000000004e-01 2.0156250000000000e+00
1 9.3000000000000005e-01 2.0156250000000000e+00
1 9.3999999999999995e-01 2.0312500000000000e+00
1 9.4999999999999996e-01 2.0468750000000000e+00
1 9.5999999999999996e-01 2.0468750000000000e+00
1 9.6999999999999997e-01 2.0625000000000000e+00
1 9.7999999999999998e-01 2.0781250000000000e+00
1 9.8999999999999999e-01 2.0781250000000000e+00
1 1.0000000000000000e+00 2.0937500000000000e+00
