i x result
1 -1.0000000000000000e+00 -4.4000011444091797e+01
1 -9.8999999999999999e-01 -3.9599990844726562e+01
1 -9.7999999999999998e-01 -3.5933330535888672e+01
1 -9.6999999999999997e-01 -3.2830768585205078e+01
1 -9.5999999999999996e-01 -3.0171428680419922e+01
1 -9.4999999999999996e-01 -2.7866668701171875e+01
1 -9.3999999999999995e-01 -2.5850004196166992e+01
1 -9.3000000000000005e-01 -2.4070592880249023e+01
1 -9.2000000000000004e-01 -2.2488885879516602e+01
1 -9.1000000000000003e-01 -2.1073682785034180e+01
1 -9.0000000000000002e-01 -1.9799999237060547e+01
1 -8.9000000000000001e-01 -1.8647619247436523e+01
1 -8.8000000000000000e-01 -1.7600000381469727e+01
1 -8.7000000000000000e-01 -1.6643480300903320e+01
1 -8.5999999999999999e-01 -1.5766669273376465e+01
1 -8.4999999999999998e-01 -1.4959999084472656e+01
1 -8.3999999999999997e-01 -1.4215383529663086e+01
1 -8.2999999999999996e-01 -1.3525925636291504e+01
1 -8.1999999999999995e-01 -1.2885714530944824e+01
1 -8.1000000000000005e-01 -1.2289655685424805e+01
1 -8.0000000000000004e-01 -1.1733334541320801e+01
1 -7.9000000000000004e-01 -1.1212902069091797e+01
1 -7.8000000000000003e-01 -1.0724998474121094e+01
1 -7.7000000000000002e-01 -1.0266666412353516e+01
1 -7.6000000000000001e-01 -9.8352937698364258e+00
1 -7.5000000000000000e-01 -9.4285717010498047e+00
1 -7.3999999999999999e-01 -9.0444450378417969e+00
1 -7.2999999999999998e-01 -8.6810817718505859e+00
1 -7.1999999999999997e-01 -8.3368415832519531e+00
1 -7.0999999999999996e-01 -8.0102558135986328e+00
1 -6.9999999999999996e-01 -7.6999998092651367e+00
1 -6.8999999999999995e-01 -7.4048781394958496e+00
1 -6.8000000000000005e-01 -7.1238098144531250e+00
1 -6.7000000000000004e-01 -6.8558144569396973e+00
1 -6.6000000000000003e-01 -6.6000008583068848e+00
1 -6.5000000000000002e-01 -6.3555550575256348e+00
1 -6.4000000000000001e-01 -6.1217389106750488e+00
1 -6.3000000000000000e-01 -5.8978719711303711e+00
1 -6.2000000000000000e-01 -5.6833333969116211e+00
1 -6.0999999999999999e-01 -5.4775514602661133e+00
1 -5.9999999999999998e-01 -5.2800002098083496e+00
1 -5.8999999999999997e-01 -5.0901961326599121e+00
1 -5.7999999999999996e-01 -4.9076919555664062e+00
1 -5.6999999999999995e-01 -4.7320752143859863e+00
1 -5.6000000000000005e-01 -4.5629630088806152e+00
1 -5.5000000000000004e-01 -4.4000000953674316e+00
1 -5.4000000000000004e-01 -4.2428574562072754e+00
1 -5.3000000000000003e-01 -4.0912280082702637e+00
1 -5.2000000000000002e-01 -3.9448275566101074e+00
