i x result
1 -1.0000000000000000e+00 -4.3999984741210938e+01
1 -9.8999999999999999e-01 -3.9599990844726562e+01
1 -9.7999999999999998e-01 -3.5933326721191406e+01
1 -9.6999999999999997e-01 -3.2830764770507812e+01
1 -9.5999999999999996e-01 -3.0171428680419922e+01
1 -9.4999999999999996e-01 -2.7866668701171875e+01
1 -9.3999999999999995e-01 -2.5850006103515625e+01
1 -9.3000000000000005e-01 -2.4070590972900391e+01
1 -9.2000000000000004e-01 -2.2488891601562500e+01
1 -9.1000000000000003e-01 -2.1073688507080078e+01
1 -9.0000000000000002e-01 -1.9800006866455078e+01
1 -8.9000000000000001e-01 -1.8647613525390625e+01
1 -8.8000000000000000e-01 -1.7599994659423828e+01
1 -8.7000000000000000e-01 -1.6643474578857422e+01
1 -8.5999999999999999e-01 -1.5766664505004883e+01
1 -8.4999999999999998e-01 -1.4959999084472656e+01
1 -8.3999999999999997e-01 -1.4215383529663086e+01
1 -8.2999999999999996e-01 -1.3525926589965820e+01
1 -8.1999999999999995e-01 -1.2885715484619141e+01
1 -8.1000000000000005e-01 -1.2289655685424805e+01
1 -8.0000000000000004e-01 -1.1733333587646484e+01
1 -7.9000000000000004e-01 -1.1212903976440430e+01
1 -7.8000000000000003e-01 -1.0725000381469727e+01
1 -7.7000000000000002e-01 -1.0266668319702148e+01
1 -7.6000000000000001e-01 -9.8352966308593750e+00
1 -7.5000000000000000e-01 -9.4285697937011719e+00
1 -7.3999999999999999e-01 -9.0444431304931641e+00
1 -7.2999999999999998e-01 -8.6810798645019531e+00
1 -7.1999999999999997e-01 -8.3368415832519531e+00
1 -7.0999999999999996e-01 -8.0102558135986328e+00
1 -6.9999999999999996e-01 -7.7000007629394531e+00
1 -6.8999999999999995e-01 -7.4048786163330078e+00
1 -6.8000000000000005e-01 -7.1238088607788086e+00
1 -6.7000000000000004e-01 -6.8558139801025391e+00
1 -6.6000000000000003e-01 -6.6000003814697266e+00
1 -6.5000000000000002e-01 -6.3555555343627930e+00
1 -6.4000000000000001e-01 -6.1217393875122070e+00
1 -6.3000000000000000e-01 -5.8978729248046875e+00
1 -6.2000000000000000e-01 -5.6833343505859375e+00
1 -6.0999999999999999e-01 -5.4775505065917969e+00
1 -5.9999999999999998e-01 -5.2799997329711914e+00
1 -5.8999999999999997e-01 -5.0901956558227539e+00
1 -5.7999999999999996e-01 -4.9076919555664062e+00
1 -5.6999999999999995e-01 -4.7320756912231445e+00
1 -5.6000000000000005e-01 -4.5629625320434570e+00
1 -5.5000000000000004e-01 -4.3999996185302734e+00
1 -5.4000000000000004e-01 -4.2428569793701172e+00
1 -5.3000000000000003e-01 -4.0912275314331055e+00
1 -5.2000000000000002e-01 -3.9448275566101074e+00
1 -5.1000000000000001e-01 -3.8033900260925293e+00
1 -5.0000000000000000e-01 -3.6666669845581055e+00
1 -4.8999999999999999e-01 -3.5344266891479492e+00
1 -4.7999999999999998e-01 -3.4064521789550781e+00
1 -4.6999999999999997e-01 -3.2825403213500977e+00
1 -4.6000000000000002e-01 -3.1625003814697266e+00
1 -4.5000000000000001e-01 -3.0461540222167969e+00
1 -4.4000000000000000e-01 -2.9333333969116211e+00
1 -4.2999999999999999e-01 -2.8238806724548340e+00
1 -4.1999999999999998e-01 -2.7176470756530762e+00
1 -4.0999999999999998e-01 -2.6144928932189941e+00
1 -4.0000000000000002e-01 -2.5142855644226074e+00
1 -3.9000000000000001e-01 -2.4169015884399414e+00
1 -3.8000000000000000e-01 -2.3222222328186035e+00
1 -3.7000000000000000e-01 -2.2301368713378906e+00
1 -3.5999999999999999e-01 -2.1405405998229980e+00
1 -3.4999999999999998e-01 -2.0533332824707031e+00
1 -3.4000000000000002e-01 -1.9684207439422607e+00
1 -3.3000000000000002e-01 -1.8857140541076660e+00
1 -3.2000000000000001e-01 -1.8051280975341797e+00
1 -3.1000000000000000e-01 -1.7265822887420654e+00
1 -2.9999999999999999e-01 -1.6500000953674316e+00
1 -2.8999999999999998e-01 -1.5753087997436523e+00
1 -2.8000000000000003e-01 -1.5024387836456299e+00
1 -2.7000000000000002e-01 -1.4313251972198486e+00
1 -2.6000000000000001e-01 -1.3619046211242676e+00
1 -2.5000000000000000e-01 -1.2941176891326904e+00
1 -2.3999999999999999e-01 -1.2279071807861328e+00
1 -2.3000000000000001e-01 -1.1632184982299805e+00
1 -2.2000000000000000e-01 -1.1000001430511475e+00
1 -2.0999999999999999e-01 -1.0382022857666016e+00
1 -2.0000000000000001e-01 -9.7777783870697021e-01
1 -1.9000000000000000e-01 -9.1868138313293457e-01
1 -1.7999999999999999e-01 -8.6086952686309814e-01
1 -1.7000000000000001e-01 -8.0430102348327637e-01
1 -1.6000000000000000e-01 -7.4893617630004883e-01
1 -1.4999999999999999e-01 -6.9473683834075928e-01
1 -1.4000000000000001e-01 -6.4166665077209473e-01
1 -1.3000000000000000e-01 -5.8969068527221680e-01
1 -1.2000000000000000e-01 -5.3877556324005127e-01
1 -1.1000000000000000e-01 -4.8888891935348511e-01
1 -1.0000000000000001e-01 -4.3999999761581421e-01
1 -8.9999999999999997e-02 -3.9207923412322998e-01
1 -8.0000000000000002e-02 -3.4509807825088501e-01
1 -7.0000000000000007e-02 -2.9902905225753784e-01
1 -5.9999999999999998e-02 -2.5384616851806641e-01
1 -5.0000000000000003e-02 -2.0952379703521729e-01
1 -4.0000000000000001e-02 -1.6603773832321167e-01
1 -2.9999999999999999e-02 -1.2336449325084686e-01
1 -2.0000000000000000e-02 -8.1481471657752991e-02
1 -1.0000000000000000e-02 -4.0366970002651215e-02
1 0.0000000000000000e+00 0.0000000000000000e+00
1 1.0000000000000000e-02 3.9639636874198914e-02
1 2.0000000000000000e-02 7.8571423888206482e-02
1 2.9999999999999999e-02 1.1681416630744934e-01
1 4.0000000000000001e-02 1.5438595414161682e-01
1 5.0000000000000003e-02 1.9130435585975647e-01
1 5.9999999999999998e-02 2.2758623957633972e-01
1 7.0000000000000007e-02 2.6324784755706787e-01
1 8.0000000000000002e-02 2.9830509424209595e-01
1 8.9999999999999997e-02 3.3277314901351929e-01
1 1.0000000000000001e-01 3.6666667461395264e-01
1 1.1000000000000000e-01 4.0000003576278687e-01
1 1.2000000000000000e-01 4.3278694152832031e-01
1 1.3000000000000000e-01 4.6504068374633789e-01
1 1.4000000000000001e-01 4.9677419662475586e-01
1 1.4999999999999999e-01 5.2800011634826660e-01
1 1.6000000000000000e-01 5.5873012542724609e-01
1 1.7000000000000001e-01 5.8897626399993896e-01
1 1.7999999999999999e-01 6.1874997615814209e-01
1 1.9000000000000000e-01 6.4806199073791504e-01
1 2.0000000000000001e-01 6.7692303657531738e-01
1 2.0999999999999999e-01 7.0534348487854004e-01
1 2.2000000000000000e-01 7.3333334922790527e-01
1 2.3000000000000001e-01 7.6090216636657715e-01
1 2.3999999999999999e-01 7.8805971145629883e-01
1 2.5000000000000000e-01 8.1481480598449707e-01
1 2.6000000000000001e-01 8.4117639064788818e-01
1 2.7000000000000002e-01 8.6715316772460938e-01
1 2.8000000000000003e-01 8.9275348186492920e-01
1 2.8999999999999998e-01 9.1798567771911621e-01
1 2.9999999999999999e-01 9.4285714626312256e-01
1 3.1000000000000000e-01 9.6737587451934814e-01
1 3.2000000000000001e-01 9.9154925346374512e-01
1 3.3000000000000002e-01 1.0153846740722656e+00
1 3.4000000000000002e-01 1.0388889312744141e+00
1 3.4999999999999998e-01 1.0620691776275635e+00
1 3.5999999999999999e-01 1.0849316120147705e+00
1 3.7000000000000000e-01 1.1074831485748291e+00
1 3.8000000000000000e-01 1.1297295093536377e+00
1 3.9000000000000001e-01 1.1516776084899902e+00
1 4.0000000000000002e-01 1.1733331680297852e+00
1 4.0999999999999998e-01 1.1947019100189209e+00
1 4.1999999999999998e-01 1.2157893180847168e+00
1 4.2999999999999999e-01 1.2366013526916504e+00
1 4.4000000000000000e-01 1.2571427822113037e+00
1 4.5000000000000001e-01 1.2774193286895752e+00
1 4.6000000000000002e-01 1.2974357604980469e+00
1 4.6999999999999997e-01 1.3171975612640381e+00
1 4.7999999999999998e-01 1.3367087841033936e+00
1 4.8999999999999999e-01 1.3559749126434326e+00
1 5.0000000000000000e-01 1.3750000000000000e+00
1 5.1000000000000001e-01 1.3937888145446777e+00
1 5.2000000000000002e-01 1.4123456478118896e+00
1 5.3000000000000003e-01 1.4306747913360596e+00
1 5.4000000000000004e-01 1.4487802982330322e+00
1 5.5000000000000004e-01 1.4666664600372314e+00
1 5.6000000000000005e-01 1.4843370914459229e+00
1 5.6999999999999995e-01 1.5017964839935303e+00
1 5.7999999999999996e-01 1.5190477371215820e+00
1 5.8999999999999997e-01 1.5360949039459229e+00
1 5.9999999999999998e-01 1.5529413223266602e+00
1 6.0999999999999999e-01 1.5695908069610596e+00
1 6.2000000000000000e-01 1.5860466957092285e+00
1 6.3000000000000000e-01 1.6023120880126953e+00
1 6.4000000000000001e-01 1.6183907985687256e+00
1 6.5000000000000002e-01 1.6342856884002686e+00
1 6.6000000000000003e-01 1.6500000953674316e+00
1 6.7000000000000004e-01 1.6655366420745850e+00
1 6.8000000000000005e-01 1.6808989048004150e+00
1 6.8999999999999995e-01 1.6960897445678711e+00
1 6.9999999999999996e-01 1.7111113071441650e+00
1 7.0999999999999996e-01 1.7259671688079834e+00
1 7.1999999999999997e-01 1.7406594753265381e+00
1 7.2999999999999998e-01 1.7551915645599365e+00
1 7.3999999999999999e-01 1.7695653438568115e+00
1 7.5000000000000000e-01 1.7837839126586914e+00
1 7.6000000000000001e-01 1.7978494167327881e+00
