i x result
1 -1.0000000000000000e+00 -4.4031250000000000e+01
1 -9.8999999999999999e-01 -3.9562500000000000e+01
1 -9.7999999999999998e-01 -3.6000000000000000e+01
1 -9.6999999999999997e-01 -3.2843750000000000e+01
1 -9.5999999999999996e-01 -3.0125000000000000e+01
1 -9.4999999999999996e-01 -2.7906250000000000e+01
1 -9.3999999999999995e-01 -2.5843750000000000e+01
1 -9.3000000000000005e-01 -2.4031250000000000e+01
1 -9.2000000000000004e-01 -2.2500000000000000e+01
1 -9.1000000000000003e-01 -2.1062500000000000e+01
1 -9.0000000000000002e-01 -1.9812500000000000e+01
1 -8.9000000000000001e-01 -1.8656250000000000e+01
1 -8.8000000000000000e-01 -1.7578125000000000e+01
1 -8.7000000000000000e-01 -1.6656250000000000e+01
1 -8.5999999999999999e-01 -1.5757812500000000e+01
1 -8.4999999999999998e-01 -1.4976562500000000e+01
1 -8.3999999999999997e-01 -1.4218750000000000e+01
1 -8.2999999999999996e-01 -1.3515625000000000e+01
1 -8.1999999999999995e-01 -1.2890625000000000e+01
1 -8.1000000000000005e-01 -1.2289062500000000e+01
1 -8.0000000000000004e-01 -1.1718750000000000e+01
1 -7.9000000000000004e-01 -1.1218750000000000e+01
1 -7.8000000000000003e-01 -1.0718750000000000e+01
1 -7.7000000000000002e-01 -1.0273437500000000e+01
1 -7.6000000000000001e-01 -9.8359375000000000e+00
1 -7.5000000000000000e-01 -9.4218750000000000e+00
1 -7.3999999999999999e-01 -9.0468750000000000e+00
1 -7.2999999999999998e-01 -8.6796875000000000e+00
1 -7.1999999999999997e-01 -8.3437500000000000e+00
1 -7.0999999999999996e-01 -8.0078125000000000e+00
1 -6.9999999999999996e-01 -7.6992187500000000e+00
1 -6.8999999999999995e-01 -7.4062500000000000e+00
1 -6.8000000000000005e-01 -7.1250000000000000e+00
1 -6.7000000000000004e-01 -6.8515625000000000e+00
1 -6.6000000000000003e-01 -6.6015625000000000e+00
1 -6.5000000000000002e-01 -6.3515625000000000e+00
1 -6.4000000000000001e-01 -6.1250000000000000e+00
1 -6.3000000000000000e-01 -5.8984375000000000e+00
1 -6.2000000000000000e-01 -5.6835937500000000e+00
1 -6.0999999999999999e-01 -5.4765625000000000e+00
1 -5.9999999999999998e-01 -5.2812500000000000e+00
1 -5.8999999999999997e-01 -5.0859375000000000e+00
1 -5.7999999999999996e-01 -4.9101562500000000e+00
1 -5.6999999999999995e-01 -4.7304687500000000e+00
1 -5.6000000000000005e-01 -4.5664062500000000e+00
1 -5.5000000000000004e-01 -4.3984375000000000e+00
1 -5.4000000000000004e-01 -4.2460937500000000e+00
1 -5.3000000000000003e-01 -4.0898437500000000e+00
1 -5.2000000000000002e-01 -3.9453125000000000e+00
1 -5.1000000000000001e-01 -3.8027343750000000e+00
1 -5.0000000000000000e-01 -3.6660156250000000e+00
1 -4.8999999999999999e-01 -3.5332031250000000e+00
1 -4.7999999999999998e-01 -3.4082031250000000e+00
1 -4.6999999999999997e-01 -3.2812500000000000e+00
1 -4.6000000000000002e-01 -3.1601562500000000e+00
1 -4.5000000000000001e-01 -3.0468750000000000e+00
1 -4.4000000000000000e-01 -2.9316406250000000e+00
1 -4.2999999999999999e-01 -2.8222656250000000e+00
1 -4.1999999999999998e-01 -2.7167968750000000e+00
1 -4.0999999999999998e-01 -2.6152343750000000e+00
1 -4.0000000000000002e-01 -2.5117187500000000e+00
1 -3.9000000000000001e-01 -2.4160156250000000e+00
1 -3.8000000000000000e-01 -2.3222656250000000e+00
1 -3.7000000000000000e-01 -2.2304687500000000e+00
1 -3.5999999999999999e-01 -2.1406250000000000e+00
1 -3.4999999999999998e-01 -2.0546875000000000e+00
1 -3.4000000000000002e-01 -1.9687500000000000e+00
1 -3.3000000000000002e-01 -1.8857421875000000e+00
1 -3.2000000000000001e-01 -1.8056640625000000e+00
1 -3.1000000000000000e-01 -1.7265625000000000e+00
1 -2.9999999999999999e-01 -1.6494140625000000e+00
1 -2.8999999999999998e-01 -1.5751953125000000e+00
1 -2.8000000000000003e-01 -1.5029296875000000e+00
1 -2.7000000000000002e-01 -1.4316406250000000e+00
1 -2.6000000000000001e-01 -1.3623046875000000e+00
1 -2.5000000000000000e-01 -1.2949218750000000e+00
1 -2.3999999999999999e-01 -1.2275390625000000e+00
1 -2.3000000000000001e-01 -1.1630859375000000e+00
1 -2.2000000000000000e-01 -1.1005859375000000e+00
1 -2.0999999999999999e-01 -1.0380859375000000e+00
1 -2.0000000000000001e-01 -9.7753906250000000e-01
1 -1.9000000000000000e-01 -9.1845703125000000e-01
1 -1.7999999999999999e-01 -8.6083984375000000e-01
1 -1.7000000000000001e-01 -8.0419921875000000e-01
